date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:43	80843/80843	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sat,%2030%20May%202020%2006:57:38%20GMT	https://www.quora.com/Why-cant-the-XOR-problem-be-solved-by-a-one-layer-perceptron	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.quora.com/Why-cant-the-XOR-problem-be-solved-by-a-one-layer-perceptron.html	(from )
14:57:43	11370/11370	---M--	200	added ('OK')	text/html	etag:%222c6a-401d8d54d0180%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/main.html	(from )
14:57:45	18922/18922	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2006:57:41%20GMT	https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/single.neural.html	(from )
14:57:48	1742/1742	---M-Z	200	added ('OK')	text/plain	date:Sat,%2030%20May%202020%2006:57:45%20GMT	https://www.quora.com/robots.txt		(from )
14:57:48	1510/1510	---M--	200	added ('OK')	text/plain	etag:%225e6-532f3fefd2d00%22	https://www.computing.dcu.ie/robots.txt		(from )
14:57:49	8899/8899	---M--	200	added ('OK')	text/css	date:Sat,%2030%20May%202020%2006:57:47%20GMT	https://www.computing.dcu.ie/~humphrys/css/main.css	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/css/main.css	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:50	128/128	---M--	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202020%2006:57:48%20GMT	https://www.computing.dcu.ie/~humphrys/js/header.js	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/js/header.js	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:51	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%221538f-5a67f563bc428%22	https://www.computing.dcu.ie/~humphrys/libs/jquery.min.js	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/libs/jquery.min.js	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:53	478412/478412	---M--	200	added ('OK')	application/javascript	etag:%2274ccc-5a67f59146512%22	https://www.computing.dcu.ie/~humphrys/3d/js/r80.three.min.js	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/3d/js/r80.three.min.js	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:53	2334/2334	---M--	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202020%2006:57:51%20GMT	https://www.computing.dcu.ie/~humphrys/js/header.show.js	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/js/header.show.js	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:53	44656/44656	---M--	200	added ('OK')	image/png	etag:%22ae70-5a67f565e114c%22	https://computing.dcu.ie/~humphrys/Images/ab.logo.png	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/computing.dcu.ie/_humphrys/Images/ab.logo.png	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:53	452/452	---M--	200	added ('OK')	image/gif	etag:%221c4-5a67f57b74730%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/sum.wiii.gif	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/sum.wiii.gif	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:54	7503/7503	---M--	200	added ('OK')	image/jpeg	etag:%221d4f-5a67f57b0cef6%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/sum.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/sum.jpg	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:54	7245/7245	---M--	200	added ('OK')	image/jpeg	etag:%221c4d-5a67f57b06196%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/input.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/input.jpg	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:54	3823/3823	---M--	200	added ('OK')	image/gif	etag:%22eef-5a67f57bfb369%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/rule.gif	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/rule.gif	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:55	12388/12388	---M--	200	added ('OK')	image/jpeg	etag:%223064-5a67f57b5d032%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/or.linear.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/or.linear.jpg	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:55	12841/12841	---M--	200	added ('OK')	image/jpeg	etag:%223229-5a67f57b562d2%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/furniture.space.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/furniture.space.jpg	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:55	19919/19919	---M--	200	added ('OK')	image/jpeg	etag:%224dcf-5a67f57b52452%22	https://www.computing.dcu.ie/~humphrys/Notes/Neural/Bitmaps/furniture.net.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Notes/Neural/Bitmaps/furniture.net.jpg	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:56	426/426	---M--	200	added ('OK')	image/gif	etag:%221aa-5a67f5689f388%22	https://www.computing.dcu.ie/~humphrys/Icons/pdf.gif	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/Icons/pdf.gif	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:56	3928/3928	---M--	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202020%2006:57:54%20GMT	https://www.computing.dcu.ie/~humphrys/js/footer.js	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/www.computing.dcu.ie/_humphrys/js/footer.js	(from https://www.computing.dcu.ie/~humphrys/Notes/Neural/single.neural.html)
14:57:57	218/218	---M--	302	error ('Found')	text/html	date:Sat,%2030%20May%202020%2006:57:55%20GMT	http://home.agh.edu.pl/robots.txt		(from )
14:57:58	20343/20343	---M--	200	added ('OK')	image/jpeg	etag:%224f77-3f9ff9c09da00%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/files/fig1.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/files/fig1.jpg	(from http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm)
14:57:58	6064/6064	---M--	200	added ('OK')	image/jpeg	etag:%2217b0-401d74ff69880%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/files/fig2.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/files/fig2.jpg	(from http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm)
14:57:59	8695/8695	---M--	200	added ('OK')	image/jpeg	etag:%2221f7-401d750151d00%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/files/fig3.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/files/fig3.jpg	(from http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm)
14:57:59	11344/11344	---M--	200	added ('OK')	image/jpeg	etag:%222c50-3f9ff9ca27080%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/files/fig4.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/files/fig4.jpg	(from http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm)
14:58:00	18641/18641	---M--	200	added ('OK')	image/jpeg	etag:%2248d1-3f9ff9cfdfe00%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/files/fig5.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/files/fig5.jpg	(from http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm)
14:58:01	15785/15785	---M--	200	added ('OK')	image/jpeg	etag:%223da9-40136c7a23200%22	http://home.agh.edu.pl/~vlsi/AI/xor_t/en/files/fig6.jpg	C:/Users/user/Desktop/%e5%85%ac%e5%8f%b8%e8%b3%87%e6%96%99/%e6%84%9f%e7%9f%a5%e5%99%a8/Single-layer%20Neural%20Networks%20%20%e6%84%9f%e7%9f%a5%e6%a9%9f/home.agh.edu.pl/_vlsi/AI/xor_t/en/files/fig6.jpg	(from http://home.agh.edu.pl/~vlsi/AI/xor_t/en/main.htm)
